strategy,strategy_name,scenario,buy_cost_bps,sell_cost_bps,slippage_bps,phase,days,signal_start,signal_end,entry_start,exit_end,annualized_return,cagr,sharpe,max_drawdown,total_return,average_one_way_turnover,average_traded_nav_ratio,annualized_cost_drag,mean_gross_exposure,max_abs_net_exposure,blocked_trade_name_events,missing_price_held_events,terminal_residual_value
baseline_daily,每日五分位,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.31494333426458687,0.36770731390494893,5.54009150687153,-0.027993260914378926,0.6438499529818436,1.4107119713651537,2.8214239427303074,0.0,2.0010295381879346,0.010920313525435195,192,145,0.0
baseline_daily,每日五分位,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.07638289599650999,-0.07504487421407835,-1.3437635437475344,-0.1474815288855741,-0.11646598229557126,1.4096142857753131,2.8192285715506262,0.3908228888863533,2.001041100630413,0.010947476168370288,192,145,0.0
baseline_daily,每日五分位,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.21850722493363128,-0.19765751154486555,-3.8437381190432167,-0.3107366535923123,-0.2949983318605818,1.4092235964870954,2.8184471929741908,0.5327643102079671,2.0010453305044122,0.01095735623951499,192,145,0.0
baseline_daily,每日五分位,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.431550284462255,-0.35179064771364266,-7.589313920459436,-0.5015621739592044,-0.4975007878000598,1.4086458214215725,2.817291642843145,0.7455331320185262,2.001051701702886,0.010972195112464691,192,145,0.0
buffer_20_30,排名缓冲区,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.36673162012986266,0.4403500781802223,6.51232282265431,-0.03051422503196355,0.7845823936878396,1.1639548764557313,2.3279097529114625,0.0,2.001115642326821,0.010863223625698038,180,143,0.0
buffer_20_30,排名缓冲区,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.04371971217449933,0.04303672531749414,0.7771974217718821,-0.08097576298871256,0.06917054191788852,1.163193211610185,2.32638642322037,0.32252795558457514,2.0011249370892052,0.01089925097505992,180,143,0.0
buffer_20_30,排名缓冲区,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.07360412373649829,-0.07243753212318471,-1.3087620607152173,-0.14890137711303053,-0.11250940836497647,1.1629237413099556,2.325847482619911,0.439675956019819,2.0011283331771783,0.010912361465816717,180,143,0.0
buffer_20_30,排名缓冲区,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.24949210815799422,-0.2221312964596951,-4.437166450993697,-0.33929046789084516,-0.32882558240649873,1.1625274616487495,2.325054923297499,0.6153002910737221,2.001133444615847,0.010932058067207134,180,143,0.0
rebalance_3d,每三日调仓,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.13900386537328988,0.14736216275635305,2.53517357783099,-0.0364816515366857,0.24383489407854353,0.4851383647240748,0.9702767294481496,0.0,2.0033003316348887,0.01925295992888798,100,260,0.005885210391306274
rebalance_3d,每三日调仓,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.0044577644390374725,0.002949647089221852,0.08102226315407658,-0.07555799349763381,0.004686033235296927,0.48474767816324443,0.9694953563264889,0.1344068644626799,2.0033769754760455,0.0192292749395113,100,260,0.0051445709966536106
rebalance_3d,每三日调仓,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.04440234310281386,-0.04491867179548392,-0.7967272494663005,-0.1063467612017589,-0.07035310446131471,0.4846073473658805,0.969214694731761,0.18321638140742202,2.0034057907756346,0.019220631019427083,100,260,0.004899076296364033
rebalance_3d,每三日调仓,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.11764024077775324,-0.11247268465730254,-2.0493159508029333,-0.19444221396690653,-0.17253663519475138,0.4843983979310174,0.9687967958620348,0.2563784303117823,2.0034499964286954,0.019207638721039595,100,260,0.004552617413852469
partial_50,每日调整50%,gross,0.0,0.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.28812034229561967,0.332278995670912,6.229344737736736,-0.019033316978085635,0.5767764632449908,0.7282642288025468,1.4565284576050936,0.0,2.0016293283243494,0.006375059692107271,894,891,0.004949995880950717
partial_50,每日调整50%,fees_slip0,3.0,8.0,0.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.08601142018337479,0.08864143019081627,1.859835744023161,-0.053991977887044795,0.1443197508431333,0.7279864238821796,1.4559728477643592,0.20186981722329642,2.0017097205606866,0.006638041686277234,894,891,0.004043579028233174
partial_50,每日调整50%,fees_slip2,3.0,8.0,2.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.012581597246207417,0.011580810062463476,0.2720314437083716,-0.07719306712931873,0.01844465174470078,0.7278856425299685,1.455771285059937,0.2752127506174714,2.001740456225476,0.006738481567045457,894,891,0.0037569601573115624
partial_50,每日调整50%,fees_slip5,3.0,8.0,5.0,0,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,-0.09752511271027055,-0.09390622314862662,-2.1081066757952263,-0.16764347399478263,-0.14489219739457038,0.7277346734236741,1.4554693468473483,0.38518916269495096,2.001788169798796,0.00689419030770636,894,891,0.0033646692100699916
rebalance_3d,每三日调仓,fees_slip0,3.0,8.0,0.0,1,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.09599142166103408,0.09931390484419356,1.8887954989365516,-0.06540221878346186,0.16217779504237173,0.4825614829937457,0.9651229659874914,0.13382289779916,2.000368813818472,0.017147116213645116,56,111,0.0
rebalance_3d,每三日调仓,fees_slip0,3.0,8.0,0.0,2,400,2025-01-02,2026-08-26,2025-01-03,2026-08-28,0.11429889448627134,0.11974904354978855,2.3609670909455645,-0.03429597712647936,0.19665611748227385,0.4807170043183408,0.9614340086366816,0.13331674151675707,1.9994677041604183,0.02058693151316928,115,293,0.005485905347252156
